trajectory_id,split
traj_0035,train
traj_0867,train
traj_0203,train
traj_0086,train
traj_0146,train
traj_0433,train
traj_0224,train
traj_0218,train
traj_0960,train
traj_0417,train
traj_0697,train
traj_0552,train
traj_0088,train
traj_0624,train
traj_0445,train
traj_0268,train
traj_0006,train
traj_0630,train
traj_0805,train
traj_0197,train
traj_0950,train
traj_0011,train
traj_0911,train
traj_0356,train
traj_0388,train
traj_0281,train
traj_0511,train
traj_0120,train
traj_0115,train
traj_0029,train
traj_0367,train
traj_0307,train
traj_0206,train
traj_0009,train
traj_0319,train
traj_0185,train
traj_0808,train
traj_0091,train
traj_0836,train
traj_0815,train
traj_0479,train
traj_0154,train
traj_0126,train
traj_0909,train
traj_0455,train
traj_0363,train
traj_0424,train
traj_0278,train
traj_0567,train
traj_0043,train
traj_0243,train
traj_0321,train
traj_0883,train
traj_0304,train
traj_0717,train
traj_0231,train
traj_0550,train
traj_0818,train
traj_0776,train
traj_0328,train
traj_0350,train
traj_0849,train
traj_0201,train
traj_0368,train
traj_0935,train
traj_0107,train
traj_0273,train
traj_0331,train
traj_0409,train
traj_0631,train
traj_0245,train
traj_0783,train
traj_0448,train
traj_0888,train
traj_0169,train
traj_0612,train
traj_0030,train
traj_0542,train
traj_0646,train
traj_0813,train
traj_0241,train
traj_0395,train
traj_0119,train
traj_0678,train
traj_0902,train
traj_0360,train
traj_0645,train
traj_0614,train
traj_0532,train
traj_0799,train
traj_0712,train
traj_0527,train
traj_0657,train
traj_0581,train
traj_0429,train
traj_0562,train
traj_0793,train
traj_0000,train
traj_0677,train
traj_0156,train
traj_0028,train
traj_0768,train
traj_0762,train
traj_0588,train
traj_0570,train
traj_0501,train
traj_0944,train
traj_0584,train
traj_0274,train
traj_0887,train
traj_0101,train
traj_0071,train
traj_0464,train
traj_0077,train
traj_0940,train
traj_0937,train
traj_0512,train
traj_0352,train
traj_0693,train
traj_0092,train
traj_0394,train
traj_0259,train
traj_0868,train
traj_0798,train
traj_0164,train
traj_0244,train
traj_0829,train
traj_0684,train
traj_0796,train
traj_0444,train
traj_0354,train
traj_0775,train
traj_0330,train
traj_0382,train
traj_0062,train
traj_0878,train
traj_0842,train
traj_0344,train
traj_0745,train
traj_0336,train
traj_0044,train
traj_0163,train
traj_0890,train
traj_0936,train
traj_0153,train
traj_0219,train
traj_0213,train
traj_0591,train
traj_0012,train
traj_0056,train
traj_0133,train
traj_0572,train
traj_0305,train
traj_0955,train
traj_0785,train
traj_0334,train
traj_0288,train
traj_0326,train
traj_0225,train
traj_0707,train
traj_0576,train
traj_0380,train
traj_0998,train
traj_0803,train
traj_0420,train
traj_0299,train
traj_0447,train
traj_0875,train
traj_0788,train
traj_0872,train
traj_0402,train
traj_0536,train
traj_0761,train
traj_0312,train
traj_0204,train
traj_0217,train
traj_0048,train
traj_0695,train
traj_0496,train
traj_0014,train
traj_0833,train
traj_0616,train
traj_0659,train
traj_0379,train
traj_0176,train
traj_0539,train
traj_0173,train
traj_0666,train
traj_0556,train
traj_0546,train
traj_0983,train
traj_0691,train
traj_0159,train
traj_0050,train
traj_0008,train
traj_0541,train
traj_0298,train
traj_0365,train
traj_0198,train
traj_0060,train
traj_0361,train
traj_0289,train
traj_0975,train
traj_0905,train
traj_0817,train
traj_0748,train
traj_0565,train
traj_0734,train
traj_0237,train
traj_0774,train
traj_0894,train
traj_0988,train
traj_0825,train
traj_0020,train
traj_0480,train
traj_0271,train
traj_0476,train
traj_0834,train
traj_0530,train
traj_0780,train
traj_0986,train
traj_0183,train
traj_0140,train
traj_0393,train
traj_0202,train
traj_0725,train
traj_0743,train
traj_0124,train
traj_0951,train
traj_0059,train
traj_0823,train
traj_0716,train
traj_0766,train
traj_0688,train
traj_0690,train
traj_0472,train
traj_0064,train
traj_0234,train
traj_0873,train
traj_0719,train
traj_0585,train
traj_0461,train
traj_0040,train
traj_0977,train
traj_0601,train
traj_0478,train
traj_0589,train
traj_0694,train
traj_0915,train
traj_0132,train
traj_0072,train
traj_0138,train
traj_0121,train
traj_0046,train
traj_0482,train
traj_0184,train
traj_0053,train
traj_0715,train
traj_0033,train
traj_0966,train
traj_0794,train
traj_0026,train
traj_0415,train
traj_0509,train
traj_0772,train
traj_0374,train
traj_0431,train
traj_0742,train
traj_0168,train
traj_0531,train
traj_0399,train
traj_0471,train
traj_0172,train
traj_0269,train
traj_0596,train
traj_0258,train
traj_0731,train
traj_0879,train
traj_0714,train
traj_0144,train
traj_0463,train
traj_0220,train
traj_0740,train
traj_0085,train
traj_0852,train
traj_0704,train
traj_0627,train
traj_0723,train
traj_0807,train
traj_0226,train
traj_0110,train
traj_0869,train
traj_0984,train
traj_0663,train
traj_0561,train
traj_0802,train
traj_0729,train
traj_0952,train
traj_0377,train
traj_0351,train
traj_0174,train
traj_0784,train
traj_0155,train
traj_0795,train
traj_0709,train
traj_0816,train
traj_0964,train
traj_0047,train
traj_0670,train
traj_0400,train
traj_0097,train
traj_0840,train
traj_0778,train
traj_0211,train
traj_0309,train
traj_0619,train
traj_0845,train
traj_0003,train
traj_0971,train
traj_0683,train
traj_0192,train
traj_0406,train
traj_0738,train
traj_0080,train
traj_0744,train
traj_0419,train
traj_0357,train
traj_0644,train
traj_0422,train
traj_0923,train
traj_0929,train
traj_0603,train
traj_0208,train
traj_0345,train
traj_0256,train
traj_0145,train
traj_0854,train
traj_0488,train
traj_0713,train
traj_0090,train
traj_0469,train
traj_0800,train
traj_0441,train
traj_0108,train
traj_0404,train
traj_0338,train
traj_0068,train
traj_0575,train
traj_0741,train
traj_0700,train
traj_0705,train
traj_0728,train
traj_0747,train
traj_0194,train
traj_0925,train
traj_0569,train
traj_0855,train
traj_0058,train
traj_0462,train
traj_0901,train
traj_0261,train
traj_0398,train
traj_0755,train
traj_0871,train
traj_0459,train
traj_0632,train
traj_0647,train
traj_0580,train
traj_0954,train
traj_0235,train
traj_0280,train
traj_0922,train
traj_0618,train
traj_0573,train
traj_0293,train
traj_0538,train
traj_0178,train
traj_0516,train
traj_0680,train
traj_0981,train
traj_0229,train
traj_0353,train
traj_0084,train
traj_0607,train
traj_0668,train
traj_0559,train
traj_0870,train
traj_0686,train
traj_0282,train
traj_0522,train
traj_0438,train
traj_0160,train
traj_0074,train
traj_0733,train
traj_0938,train
traj_0969,train
traj_0200,train
traj_0757,train
traj_0517,train
traj_0754,train
traj_0979,train
traj_0295,train
traj_0423,train
traj_0118,train
traj_0337,train
traj_0985,train
traj_0947,train
traj_0215,train
traj_0924,train
traj_0054,train
traj_0880,train
traj_0737,train
traj_0847,train
traj_0643,train
traj_0765,train
traj_0446,train
traj_0284,train
traj_0897,train
traj_0874,train
traj_0099,train
traj_0139,train
traj_0926,train
traj_0320,train
traj_0246,train
traj_0023,train
traj_0191,train
traj_0505,train
traj_0264,train
traj_0824,train
traj_0465,train
traj_0792,train
traj_0610,train
traj_0636,train
traj_0653,train
traj_0801,train
traj_0520,train
traj_0436,train
traj_0430,train
traj_0262,train
traj_0242,train
traj_0698,train
traj_0822,train
traj_0656,train
traj_0594,train
traj_0907,train
traj_0486,train
traj_0103,train
traj_0414,train
traj_0327,train
traj_0104,train
traj_0844,train
traj_0906,train
traj_0841,train
traj_0443,train
traj_0692,train
traj_0031,train
traj_0676,train
traj_0383,train
traj_0254,train
traj_0017,train
traj_0024,train
traj_0355,train
traj_0679,train
traj_0378,train
traj_0782,train
traj_0769,train
traj_0568,train
traj_0460,train
traj_0019,train
traj_0162,train
traj_0016,train
traj_0899,train
traj_0308,train
traj_0968,train
traj_0495,train
traj_0325,train
traj_0073,train
traj_0075,train
traj_0515,train
traj_0831,train
traj_0997,train
traj_0577,train
traj_0913,train
traj_0958,train
traj_0283,train
traj_0574,train
traj_0456,train
traj_0862,train
traj_0639,train
traj_0466,train
traj_0658,train
traj_0777,train
traj_0739,train
traj_0027,train
traj_0249,train
traj_0292,train
traj_0477,train
traj_0265,train
traj_0819,train
traj_0247,train
traj_0858,train
traj_0228,train
traj_0696,train
traj_0655,train
traj_0876,train
traj_0294,train
traj_0022,train
traj_0210,train
traj_0089,train
traj_0661,train
traj_0148,train
traj_0485,train
traj_0196,train
traj_0682,train
traj_0917,train
traj_0134,train
traj_0524,train
traj_0882,train
traj_0067,train
traj_0494,train
traj_0866,train
traj_0497,train
traj_0989,train
traj_0519,train
traj_0759,train
traj_0625,train
traj_0957,train
traj_0537,train
traj_0604,train
traj_0358,train
traj_0722,train
traj_0489,train
traj_0233,train
traj_0109,train
traj_0930,train
traj_0412,train
traj_0291,train
traj_0181,train
traj_0587,train
traj_0838,train
traj_0405,train
traj_0391,train
traj_0165,train
traj_0449,train
traj_0846,train
traj_0209,train
traj_0401,train
traj_0649,train
traj_0473,train
traj_0149,train
traj_0959,train
traj_0070,train
traj_0255,train
traj_0037,train
traj_0428,train
traj_0886,train
traj_0566,train
traj_0318,train
traj_0681,train
traj_0770,train
traj_0322,train
traj_0727,train
traj_0965,train
traj_0949,train
traj_0158,train
traj_0999,train
traj_0095,train
traj_0348,train
traj_0487,train
traj_0175,train
traj_0341,train
traj_0804,train
traj_0186,train
traj_0920,train
traj_0263,train
traj_0411,train
traj_0257,train
traj_0811,train
traj_0316,train
traj_0251,train
traj_0942,train
traj_0600,train
traj_0506,train
traj_0078,train
traj_0240,train
traj_0760,train
traj_0376,train
traj_0214,train
traj_0549,train
traj_0418,train
traj_0884,train
traj_0270,train
traj_0013,train
traj_0492,train
traj_0161,train
traj_0392,train
traj_0216,train
traj_0207,train
traj_0606,train
traj_0685,train
traj_0112,train
traj_0507,train
traj_0018,train
traj_0665,train
traj_0523,train
traj_0157,train
traj_0205,train
traj_0335,train
traj_0458,train
traj_0223,train
traj_0928,train
traj_0578,train
traj_0521,train
traj_0362,train
traj_0895,train
traj_0510,train
traj_0571,train
traj_0919,train
traj_0407,train
traj_0826,train
traj_0004,train
traj_0094,train
traj_0560,val
traj_0481,val
traj_0499,val
traj_0323,val
traj_0093,val
traj_0843,val
traj_0877,val
traj_0763,val
traj_0389,val
traj_0397,val
traj_0564,val
traj_0032,val
traj_0386,val
traj_0364,val
traj_0667,val
traj_0453,val
traj_0440,val
traj_0640,val
traj_0633,val
traj_0227,val
traj_0369,val
traj_0642,val
traj_0416,val
traj_0452,val
traj_0081,val
traj_0827,val
traj_0820,val
traj_0863,val
traj_0370,val
traj_0311,val
traj_0450,val
traj_0052,val
traj_0912,val
traj_0342,val
traj_0540,val
traj_0267,val
traj_0721,val
traj_0106,val
traj_0122,val
traj_0396,val
traj_0992,val
traj_0533,val
traj_0730,val
traj_0384,val
traj_0105,val
traj_0266,val
traj_0347,val
traj_0190,val
traj_0864,val
traj_0850,val
traj_0039,val
traj_0339,val
traj_0188,val
traj_0403,val
traj_0525,val
traj_0189,val
traj_0812,val
traj_0087,val
traj_0732,val
traj_0483,val
traj_0005,val
traj_0597,val
traj_0699,val
traj_0953,val
traj_0442,val
traj_0893,val
traj_0861,val
traj_0385,val
traj_0332,val
traj_0790,val
traj_0359,val
traj_0590,val
traj_0504,val
traj_0962,val
traj_0375,val
traj_0114,val
traj_0170,val
traj_0851,val
traj_0123,val
traj_0301,val
traj_0615,val
traj_0602,val
traj_0711,val
traj_0786,val
traj_0918,val
traj_0508,val
traj_0718,val
traj_0599,val
traj_0221,val
traj_0654,val
traj_0111,val
traj_0475,val
traj_0484,val
traj_0329,val
traj_0279,val
traj_0277,val
traj_0349,val
traj_0956,val
traj_0187,val
traj_0065,val
traj_0974,test
traj_0611,test
traj_0583,test
traj_0948,test
traj_0069,test
traj_0410,test
traj_0689,test
traj_0637,test
traj_0177,test
traj_0736,test
traj_0982,test
traj_0117,test
traj_0586,test
traj_0372,test
traj_0010,test
traj_0628,test
traj_0927,test
traj_0669,test
traj_0063,test
traj_0735,test
traj_0500,test
traj_0001,test
traj_0042,test
traj_0634,test
traj_0529,test
traj_0167,test
traj_0809,test
traj_0821,test
traj_0076,test
traj_0313,test
traj_0296,test
traj_0502,test
traj_0490,test
traj_0720,test
traj_0837,test
traj_0543,test
traj_0641,test
traj_0939,test
traj_0617,test
traj_0290,test
traj_0779,test
traj_0910,test
traj_0212,test
traj_0555,test
traj_0967,test
traj_0672,test
traj_0317,test
traj_0057,test
traj_0791,test
traj_0535,test
traj_0932,test
traj_0272,test
traj_0015,test
traj_0432,test
traj_0503,test
traj_0828,test
traj_0621,test
traj_0137,test
traj_0702,test
traj_0287,test
traj_0451,test
traj_0528,test
traj_0300,test
traj_0752,test
traj_0622,test
traj_0943,test
traj_0195,test
traj_0034,test
traj_0286,test
traj_0314,test
traj_0970,test
traj_0547,test
traj_0333,test
traj_0182,test
traj_0049,test
traj_0518,test
traj_0102,test
traj_0687,test
traj_0651,test
traj_0041,test
traj_0553,test
traj_0366,test
traj_0534,test
traj_0275,test
traj_0675,test
traj_0832,test
traj_0303,test
traj_0113,test
traj_0749,test
traj_0908,test
traj_0437,test
traj_0491,test
traj_0526,test
traj_0141,test
traj_0706,test
traj_0548,test
traj_0609,test
traj_0961,test
traj_0973,test
traj_0648,test
