sample_id,trajectory_id,MMSI,split,gap_steps,prefix_steps,suffix_steps,window_start_index,gap_start_index,gap_end_index,window_end_index,hidden_gap_start_timestamp,hidden_gap_end_timestamp,last_prefix_timestamp,first_suffix_timestamp,hidden_internal_duration_min,observable_gap_duration_min,max_dt_inside_window_min,mean_dt_inside_window_min,median_dt_inside_window_min,num_prefix_rows,num_gap_rows,num_suffix_rows
traj_0001_gap5,traj_0001,235009590,test,5,60,60,5355,5415,5419,5479,2023-08-11 06:11:14,2023-08-11 06:42:06,2023-08-11 05:59:21,2023-08-11 06:47:22,30.8667,48.0167,52.25,10.7415,9.0167,60,5,60
traj_0001_gap10,traj_0001,235009590,test,10,60,60,5352,5412,5421,5481,2023-08-11 05:43:16,2023-08-11 06:52:54,2023-08-11 05:17:33,2023-08-11 06:59:20,69.6333,101.7833,52.25,10.8243,9.05,60,10,60
traj_0001_gap15,traj_0001,235009590,test,15,60,60,5350,5410,5424,5484,2023-08-11 05:06:54,2023-08-11 07:23:20,2023-08-11 04:59:20,2023-08-11 07:28:33,136.4333,149.2167,52.25,10.8357,9.1,60,15,60
traj_0001_gap30,traj_0001,235009590,test,30,60,60,5342,5402,5431,5491,2023-08-11 03:35:23,2023-08-11 08:20:23,2023-08-11 02:58:16,2023-08-11 08:44:21,285.0,346.0833,52.25,10.8138,9.05,60,30,60
traj_0001_gap45,traj_0001,235009590,test,45,60,60,5335,5395,5439,5499,2023-08-11 01:48:54,2023-08-11 09:44:22,2023-08-11 01:38:03,2023-08-11 09:50:21,475.4667,492.3,52.25,10.8295,9.0333,60,45,60
traj_0001_gap60,traj_0001,235009590,test,60,60,60,5327,5387,5446,5506,2023-08-11 00:29:22,2023-08-11 10:32:34,2023-08-11 00:23:24,2023-08-11 10:50:22,603.2,626.9667,52.25,10.8435,9.0167,60,60,60
traj_0002_gap5_w0,traj_0002,235010500,train,5,60,60,0,60,64,124,2023-07-01 11:34:09,2023-07-01 12:01:08,2023-07-01 11:25:08,2023-07-01 12:07:08,26.9833,42.0,51.4667,10.6083,9.0,60,5,60
traj_0002_gap5_w1,traj_0002,235010500,train,5,60,60,5225,5285,5289,5349,2023-08-10 18:13:51,2023-08-10 19:11:35,2023-08-10 18:08:35,2023-08-10 19:16:59,57.7333,68.4,54.0167,10.8566,9.0417,60,5,60
traj_0002_gap5_w2,traj_0002,235010500,train,5,60,60,10450,10510,10514,10574,2023-09-20 19:35:56,2023-09-20 20:14:56,2023-09-20 19:04:45,2023-09-20 20:26:58,39.0,82.2167,42.6667,12.0574,10.225,60,5,60
traj_0002_gap10_w0,traj_0002,235010500,train,10,60,60,0,60,69,129,2023-07-01 11:34:09,2023-07-01 12:53:28,2023-07-01 11:25:08,2023-07-01 13:01:08,79.3167,96.0,51.4667,10.5357,9.0,60,10,60
traj_0002_gap10_w1,traj_0002,235010500,train,10,60,60,5222,5282,5291,5351,2023-08-10 17:41:34,2023-08-10 19:26:33,2023-08-10 17:31:09,2023-08-10 19:37:34,104.9833,126.4167,54.0167,10.9257,9.05,60,10,60
traj_0002_gap10_w2,traj_0002,235010500,train,10,60,60,10445,10505,10514,10574,2023-09-20 18:05:56,2023-09-20 20:14:56,2023-09-20 17:56:57,2023-09-20 20:26:58,129.0,150.0167,42.6667,12.2289,10.4333,60,10,60
traj_0002_gap15_w0,traj_0002,235010500,train,15,60,60,0,60,74,134,2023-07-01 11:34:09,2023-07-01 13:46:08,2023-07-01 11:25:08,2023-07-01 13:58:06,131.9833,152.9667,51.4667,10.4185,8.9917,60,15,60
traj_0002_gap15_w1,traj_0002,235010500,train,15,60,60,5220,5280,5294,5354,2023-08-10 17:14:38,2023-08-10 19:55:37,2023-08-10 17:08:26,2023-08-10 20:08:34,160.9833,180.1333,54.0167,10.9031,9.15,60,15,60
traj_0002_gap15_w2,traj_0002,235010500,train,15,60,60,10440,10500,10514,10574,2023-09-20 17:26:36,2023-09-20 20:14:56,2023-09-20 17:13:41,2023-09-20 20:26:58,168.3333,193.2833,42.6667,12.0981,10.225,60,15,60
traj_0002_gap30_w0,traj_0002,235010500,train,30,60,60,0,60,89,149,2023-07-01 11:34:09,2023-07-01 16:07:09,2023-07-01 11:25:08,2023-07-01 16:16:09,273.0,291.0167,51.4667,10.1959,8.9667,60,30,60
traj_0002_gap30_w1,traj_0002,235010500,train,30,60,60,5212,5272,5301,5361,2023-08-10 16:11:33,2023-08-10 21:08:38,2023-08-10 16:05:35,2023-08-10 21:14:33,297.0833,308.9667,54.0167,10.7897,9.25,60,30,60
traj_0002_gap30_w2,traj_0002,235010500,train,30,60,60,10425,10485,10514,10574,2023-09-20 14:56:55,2023-09-20 20:14:56,2023-09-20 14:35:56,2023-09-20 20:26:58,318.0167,351.0333,42.6667,11.8062,9.85,60,30,60
traj_0002_gap45_w0,traj_0002,235010500,train,45,60,60,0,60,104,164,2023-07-01 11:34:09,2023-07-01 18:45:48,2023-07-01 11:25:08,2023-07-01 18:57:09,431.65,452.0167,51.4667,10.4519,8.9833,60,45,60
traj_0002_gap45_w1,traj_0002,235010500,train,45,60,60,5205,5265,5309,5369,2023-08-10 15:14:07,2023-08-10 22:17:35,2023-08-10 15:08:42,2023-08-10 22:25:11,423.4667,436.4833,54.0167,10.6783,9.15,60,45,60
traj_0002_gap45_w2,traj_0002,235010500,train,45,60,60,10410,10470,10514,10574,2023-09-20 12:26:59,2023-09-20 20:14:56,2023-09-20 12:20:44,2023-09-20 20:26:58,467.95,486.2333,44.9833,11.8057,9.6333,60,45,60
traj_0002_gap60_w0,traj_0002,235010500,train,60,60,60,0,60,119,179,2023-07-01 11:34:09,2023-07-01 21:01:07,2023-07-01 11:25:08,2023-07-01 21:06:27,566.9667,581.3167,54.8167,10.699,8.9833,60,60,60
traj_0002_gap60_w1,traj_0002,235010500,train,60,60,60,5198,5258,5317,5377,2023-08-10 14:10:24,2023-08-10 23:44:37,2023-08-10 13:59:39,2023-08-10 23:56:26,574.2167,596.7833,54.0167,10.6735,9.05,60,60,60
traj_0002_gap60_w2,traj_0002,235010500,train,60,60,60,10395,10455,10514,10574,2023-09-20 09:29:58,2023-09-20 20:14:56,2023-09-20 09:17:57,2023-09-20 20:26:58,644.9667,669.0167,44.9833,11.558,9.5333,60,60,60
traj_0003_gap5_w0,traj_0003,235028825,train,5,60,60,0,60,64,124,2023-07-01 11:37:34,2023-07-01 12:08:08,2023-07-01 11:25:34,2023-07-01 12:14:09,30.5667,48.5833,54.05,10.8507,8.0917,60,5,60
traj_0003_gap5_w1,traj_0003,235028825,train,5,60,60,5374,5434,5438,5498,2023-08-11 00:44:29,2023-08-11 01:29:31,2023-08-11 00:37:37,2023-08-11 01:37:37,45.0333,60.0,51.0667,10.8058,8.65,60,5,60
traj_0003_gap5_w2,traj_0003,235028825,train,5,60,60,10747,10807,10811,10871,2023-09-20 22:20:53,2023-09-20 22:44:50,2023-09-20 22:14:51,2023-09-20 22:54:11,23.95,39.3333,48.05,10.7079,9.0083,60,5,60
traj_0003_gap10_w0,traj_0003,235028825,train,10,60,60,0,60,69,129,2023-07-01 11:37:34,2023-07-01 13:05:29,2023-07-01 11:25:34,2023-07-01 13:11:11,87.9167,105.6167,54.05,10.7558,8.1333,60,10,60
traj_0003_gap10_w1,traj_0003,235028825,train,10,60,60,5371,5431,5440,5500,2023-08-11 00:25:36,2023-08-11 01:49:35,2023-08-11 00:13:35,2023-08-11 02:03:22,83.9833,109.7833,51.0667,10.7908,8.8167,60,10,60
traj_0003_gap10_w2,traj_0003,235028825,train,10,60,60,10742,10802,10811,10871,2023-09-20 21:17:50,2023-09-20 22:44:50,2023-09-20 21:11:51,2023-09-20 22:54:11,87.0,102.3333,48.05,10.8584,9.0,60,10,60
traj_0003_gap15_w0,traj_0003,235028825,train,15,60,60,0,60,74,134,2023-07-01 11:37:34,2023-07-01 14:08:09,2023-07-01 11:25:34,2023-07-01 14:20:11,150.5833,174.6167,54.05,10.7799,8.6167,60,15,60
traj_0003_gap15_w1,traj_0003,235028825,train,15,60,60,5368,5428,5442,5502,2023-08-10 23:49:33,2023-08-11 02:20:30,2023-08-10 23:35:29,2023-08-11 03:02:06,150.95,206.6167,51.0667,10.7323,8.875,60,15,60
traj_0003_gap15_w2,traj_0003,235028825,train,15,60,60,10737,10797,10811,10871,2023-09-20 20:39:00,2023-09-20 22:44:50,2023-09-20 20:26:59,2023-09-20 22:54:11,125.8333,147.2,48.05,10.8134,9.0083,60,15,60
traj_0003_gap30_w0,traj_0003,235028825,train,30,60,60,0,60,89,149,2023-07-01 11:37:34,2023-07-01 16:32:11,2023-07-01 11:25:34,2023-07-01 16:41:09,294.6167,315.5833,54.05,11.1445,8.9833,60,30,60
traj_0003_gap30_w1,traj_0003,235028825,train,30,60,60,5361,5421,5450,5510,2023-08-10 22:35:29,2023-08-11 04:02:33,2023-08-10 22:04:38,2023-08-11 04:14:51,327.0667,370.2167,51.0667,10.5499,8.8167,60,30,60
traj_0003_gap30_w2,traj_0003,235028825,train,30,60,60,10722,10782,10811,10871,2023-09-20 17:07:31,2023-09-20 22:44:50,2023-09-20 16:56:50,2023-09-20 22:54:11,337.3167,357.35,48.05,10.6555,9.0,60,30,60
traj_0003_gap45_w0,traj_0003,235028825,train,45,60,60,0,60,104,164,2023-07-01 11:37:34,2023-07-01 18:56:11,2023-07-01 11:25:34,2023-07-01 19:02:11,438.6167,456.6167,54.05,11.3096,9.0083,60,45,60
traj_0003_gap45_w1,traj_0003,235028825,train,45,60,60,5354,5414,5458,5518,2023-08-10 21:25:34,2023-08-11 05:47:33,2023-08-10 21:17:32,2023-08-11 05:53:33,501.9833,516.0167,51.0667,10.3376,8.65,60,45,60
traj_0003_gap45_w2,traj_0003,235028825,train,45,60,60,10707,10767,10811,10871,2023-09-20 14:42:08,2023-09-20 22:44:50,2023-09-20 14:35:50,2023-09-20 22:54:11,482.7,498.35,48.05,10.4879,8.6583,60,45,60
traj_0003_gap60_w0,traj_0003,235028825,train,60,60,60,0,60,119,179,2023-07-01 11:37:34,2023-07-01 21:09:12,2023-07-01 11:25:34,2023-07-01 21:17:10,571.6333,591.6,54.05,11.1997,9.0167,60,60,60
traj_0003_gap60_w1,traj_0003,235028825,train,60,60,60,5346,5406,5465,5525,2023-08-10 20:02:32,2023-08-11 06:56:30,2023-08-10 19:56:32,2023-08-11 07:08:29,653.9667,671.95,51.0667,10.6275,8.9833,60,60,60
traj_0003_gap60_w2,traj_0003,235028825,train,60,60,60,10692,10752,10811,10871,2023-09-20 12:05:52,2023-09-20 22:44:50,2023-09-20 11:52:59,2023-09-20 22:54:11,638.9667,661.2,48.05,10.4782,8.8333,60,60,60
traj_0004_gap5_w0,traj_0004,227286000,train,5,60,60,0,60,64,124,2023-07-01 19:44:16,2023-07-01 20:43:07,2023-07-01 19:32:50,2023-07-01 20:53:37,58.85,80.7833,109.6333,20.9339,11.7,60,5,60
traj_0004_gap5_w1,traj_0004,227286000,train,5,60,60,3450,3510,3514,3574,2023-08-12 13:01:22,2023-08-12 13:44:22,2023-08-12 12:50:04,2023-08-12 13:55:12,43.0,65.1333,76.4,15.4343,11.0167,60,5,60
traj_0004_gap5_w2,traj_0004,227286000,train,5,60,60,6900,6960,6964,7024,2023-09-20 15:49:21,2023-09-20 18:01:20,2023-09-20 15:07:18,2023-09-20 18:16:16,131.9833,188.9667,136.3333,17.5664,12.1,60,5,60
traj_0004_gap10_w0,traj_0004,227286000,train,10,60,60,0,60,69,129,2023-07-01 19:44:16,2023-07-01 22:44:30,2023-07-01 19:32:50,2023-07-01 22:55:18,180.2333,202.4667,109.6333,20.6248,11.6833,60,10,60
traj_0004_gap10_w1,traj_0004,227286000,train,10,60,60,3448,3508,3517,3577,2023-08-12 12:25:23,2023-08-12 14:16:58,2023-08-12 11:25:28,2023-08-12 14:27:54,111.5833,182.4333,76.4,15.262,11.0167,60,10,60
traj_0004_gap10_w2,traj_0004,227286000,train,10,60,60,6895,6955,6964,7024,2023-09-20 14:16:15,2023-09-20 18:01:20,2023-09-20 14:04:09,2023-09-20 18:16:16,225.0833,252.1167,136.3333,17.3518,12.1,60,10,60
traj_0004_gap15_w0,traj_0004,227286000,train,15,60,60,0,60,74,134,2023-07-01 19:44:16,2023-07-02 00:58:00,2023-07-01 19:32:50,2023-07-02 01:09:31,313.7333,336.6833,109.6333,20.9991,11.6833,60,15,60
traj_0004_gap15_w1,traj_0004,227286000,train,15,60,60,3445,3505,3519,3579,2023-08-12 11:05:16,2023-08-12 14:37:58,2023-08-12 10:54:10,2023-08-12 14:48:22,212.7,234.2,76.4,15.3041,11.0167,60,15,60
traj_0004_gap15_w2,traj_0004,227286000,train,15,60,60,6890,6950,6964,7024,2023-09-20 12:41:05,2023-09-20 18:01:20,2023-09-20 12:26:20,2023-09-20 18:16:16,320.25,349.9333,136.3333,17.1112,12.025,60,15,60
traj_0004_gap30_w0,traj_0004,227286000,train,30,60,60,0,60,89,149,2023-07-01 19:44:16,2023-07-02 06:49:20,2023-07-01 19:32:50,2023-07-02 07:19:06,665.0667,706.2667,109.6333,21.226,11.6833,60,30,60
traj_0004_gap30_w1,traj_0004,227286000,train,30,60,60,3438,3498,3527,3587,2023-08-12 09:47:10,2023-08-12 16:30:11,2023-08-12 09:37:04,2023-08-12 16:42:04,403.0167,425.0,76.4,15.047,11.1,60,30,60
traj_0004_gap30_w2,traj_0004,227286000,train,30,60,60,6875,6935,6964,7024,2023-09-20 09:05:07,2023-09-20 18:01:20,2023-09-20 08:53:20,2023-09-20 18:16:16,536.2167,562.9333,136.3333,16.5941,12.0,60,30,60
traj_0004_gap45_w0,traj_0004,227286000,train,45,60,60,0,60,104,164,2023-07-01 19:44:16,2023-07-02 12:03:52,2023-07-01 19:32:50,2023-07-02 12:34:58,979.6,1022.1333,109.6333,21.5926,11.75,60,45,60
traj_0004_gap45_w1,traj_0004,227286000,train,45,60,60,3430,3490,3534,3594,2023-08-12 08:07:30,2023-08-12 18:56:18,2023-08-12 07:55:21,2023-08-12 19:18:26,648.8,683.0833,76.4,15.0121,11.1,60,45,60
traj_0004_gap45_w2,traj_0004,227286000,train,45,60,60,6860,6920,6964,7024,2023-09-20 04:48:18,2023-09-20 18:01:20,2023-09-20 03:31:27,2023-09-20 18:16:16,793.0333,884.8167,136.3333,16.4118,12.025,60,45,60
traj_0004_gap60_w0,traj_0004,227286000,train,60,60,60,0,60,119,179,2023-07-01 19:44:16,2023-07-02 17:42:01,2023-07-01 19:32:50,2023-07-02 17:54:15,1317.75,1341.4167,113.1,21.5533,11.7167,60,60,60
traj_0004_gap60_w1,traj_0004,227286000,train,60,60,60,3422,3482,3541,3601,2023-08-12 06:25:36,2023-08-12 21:13:52,2023-08-12 06:07:37,2023-08-12 21:23:46,888.2667,916.15,76.4,15.0078,11.1,60,60,60
traj_0004_gap60_w2,traj_0004,227286000,train,60,60,60,6845,6905,6964,7024,2023-09-19 22:47:43,2023-09-20 18:01:20,2023-09-19 22:37:44,2023-09-20 18:16:16,1153.6167,1178.5333,136.3333,16.1089,12.05,60,60,60
traj_0005_gap5,traj_0005,227022800,val,5,60,60,5523,5583,5587,5647,2023-08-10 15:42:09,2023-08-10 16:25:36,2023-08-10 15:34:41,2023-08-10 16:46:37,43.45,71.9333,39.7167,11.8262,10.35,60,5,60
traj_0005_gap10,traj_0005,227022800,val,10,60,60,5520,5580,5589,5649,2023-08-10 15:01:38,2023-08-10 17:07:38,2023-08-10 14:54:30,2023-08-10 17:16:39,126.0,142.15,39.7167,11.8447,10.3833,60,10,60
traj_0005_gap15,traj_0005,227022800,val,15,60,60,5518,5578,5592,5652,2023-08-10 14:41:46,2023-08-10 17:36:42,2023-08-10 14:31:37,2023-08-10 17:47:44,174.9333,196.1167,39.7167,11.7363,10.2333,60,15,60
traj_0005_gap30,traj_0005,227022800,val,30,60,60,5510,5570,5599,5659,2023-08-10 12:27:27,2023-08-10 18:46:40,2023-08-10 12:16:24,2023-08-10 18:52:38,379.2167,396.2333,39.7167,11.5431,10.15,60,30,60
traj_0005_gap45,traj_0005,227022800,val,45,60,60,5503,5563,5607,5667,2023-08-10 11:03:44,2023-08-10 20:01:36,2023-08-10 10:49:52,2023-08-10 20:07:38,537.8667,557.7667,39.7167,11.433,10.0,60,45,60
traj_0005_gap60,traj_0005,227022800,val,60,60,60,5495,5555,5614,5674,2023-08-10 09:41:23,2023-08-10 20:55:36,2023-08-10 09:33:53,2023-08-10 21:07:37,674.2167,693.7333,39.7167,11.2934,9.45,60,60,60
traj_0006_gap5_w0,traj_0006,227273000,train,5,60,60,0,60,64,124,2023-07-01 16:59:04,2023-07-01 18:24:46,2023-07-01 16:48:27,2023-07-01 18:35:09,85.7,106.7,178.1167,18.9353,11.0417,60,5,60
traj_0006_gap5_w1,traj_0006,227273000,train,5,60,60,2867,2927,2931,2991,2023-08-10 18:38:20,2023-08-10 19:19:48,2023-08-10 17:42:02,2023-08-10 19:33:00,41.4667,110.9667,194.6,18.0679,10.8833,60,5,60
traj_0006_gap5_w2,traj_0006,227273000,train,5,60,60,5734,5794,5798,5858,2023-09-20 11:42:27,2023-09-20 13:01:35,2023-09-20 11:36:03,2023-09-20 13:17:56,79.1333,101.8833,204.6833,20.6511,11.9083,60,5,60
traj_0006_gap10_w0,traj_0006,227273000,train,10,60,60,0,60,69,129,2023-07-01 16:59:04,2023-07-01 19:45:28,2023-07-01 16:48:27,2023-07-01 19:55:28,166.4,187.0167,178.1167,19.7014,11.1,60,10,60
traj_0006_gap10_w1,traj_0006,227273000,train,10,60,60,2864,2924,2933,2993,2023-08-10 16:31:37,2023-08-10 19:54:49,2023-08-10 16:21:07,2023-08-10 20:05:00,203.2,223.8833,194.6,17.8771,11.0,60,10,60
traj_0006_gap10_w2,traj_0006,227273000,train,10,60,60,5729,5789,5798,5858,2023-09-20 09:04:33,2023-09-20 13:01:35,2023-09-20 08:49:45,2023-09-20 13:17:56,237.0333,268.1833,204.6833,20.6275,11.9667,60,10,60
traj_0006_gap15_w0,traj_0006,227273000,train,15,60,60,0,60,74,134,2023-07-01 16:59:04,2023-07-01 20:46:06,2023-07-01 16:48:27,2023-07-01 20:54:40,227.0333,246.2167,178.1167,19.3383,11.0667,60,15,60
traj_0006_gap15_w1,traj_0006,227273000,train,15,60,60,2862,2922,2936,2996,2023-08-10 16:10:25,2023-08-10 20:28:32,2023-08-10 15:58:57,2023-08-10 20:37:31,258.1167,278.5667,194.6,18.315,11.0083,60,15,60
traj_0006_gap15_w2,traj_0006,227273000,train,15,60,60,5724,5784,5798,5858,2023-09-20 07:46:34,2023-09-20 13:01:35,2023-09-20 07:35:48,2023-09-20 13:17:56,315.0167,342.1333,204.6833,20.2607,11.975,60,15,60
traj_0006_gap30_w0,traj_0006,227273000,train,30,60,60,0,60,89,149,2023-07-01 16:59:04,2023-07-02 00:06:11,2023-07-01 16:48:27,2023-07-02 00:13:06,427.1167,444.65,178.1167,18.8351,11.0333,60,30,60
traj_0006_gap30_w1,traj_0006,227273000,train,30,60,60,2854,2914,2943,3003,2023-08-10 14:51:03,2023-08-10 22:36:04,2023-08-10 13:49:28,2023-08-10 22:41:11,465.0167,531.7167,194.6,17.9521,11.0167,60,30,60
traj_0006_gap30_w2,traj_0006,227273000,train,30,60,60,5709,5769,5798,5858,2023-09-20 03:38:25,2023-09-20 13:01:35,2023-09-20 03:26:55,2023-09-20 13:17:56,563.1667,591.0167,204.6833,23.0179,12.0167,60,30,60
traj_0006_gap45_w0,traj_0006,227273000,train,45,60,60,0,60,104,164,2023-07-01 16:59:04,2023-07-02 07:24:02,2023-07-01 16:48:27,2023-07-02 07:34:55,864.9667,886.4667,178.1167,18.914,11.0917,60,45,60
traj_0006_gap45_w1,traj_0006,227273000,train,45,60,60,2847,2907,2951,3011,2023-08-10 12:26:10,2023-08-10 23:55:43,2023-08-10 12:02:30,2023-08-11 00:03:03,689.55,720.55,194.6,18.1927,11.0167,60,45,60
traj_0006_gap45_w2,traj_0006,227273000,train,45,60,60,5694,5754,5798,5858,2023-09-19 20:33:56,2023-09-20 13:01:35,2023-09-19 20:27:35,2023-09-20 13:17:56,987.65,1010.35,204.6833,22.0622,11.9917,60,45,60
traj_0006_gap60_w0,traj_0006,227273000,train,60,60,60,0,60,119,179,2023-07-01 16:59:04,2023-07-02 13:25:41,2023-07-01 16:48:27,2023-07-02 13:35:51,1226.6167,1247.4,178.1167,18.9518,11.15,60,60,60
traj_0006_gap60_w1,traj_0006,227273000,train,60,60,60,2840,2900,2959,3019,2023-08-10 08:55:29,2023-08-11 05:34:29,2023-08-10 08:44:28,2023-08-11 05:46:09,1239.0,1261.6833,194.6,18.3991,11.1,60,60,60
traj_0006_gap60_w2,traj_0006,227273000,train,60,60,60,5679,5739,5798,5858,2023-09-19 15:13:46,2023-09-20 13:01:35,2023-09-19 15:01:55,2023-09-20 13:17:56,1307.8167,1336.0167,204.6833,22.5744,12.0167,60,60,60
traj_0007_gap5_w0,traj_0007,308094000,train,5,60,60,0,60,64,124,2023-07-01 17:50:22,2023-07-01 20:44:49,2023-07-01 17:42:11,2023-07-01 20:55:49,174.45,193.6333,141.9667,17.6755,10.7,60,5,60
traj_0007_gap5_w1,traj_0007,308094000,train,5,60,60,3592,3652,3656,3716,2023-08-11 15:47:45,2023-08-11 17:47:12,2023-08-11 15:29:38,2023-08-11 17:58:48,119.45,149.1667,80.8,13.4391,10.9417,60,5,60
traj_0007_gap5_w2,traj_0007,308094000,train,5,60,60,7185,7245,7249,7309,2023-09-20 14:16:14,2023-09-20 14:57:45,2023-09-20 12:55:14,2023-09-20 15:08:05,41.5167,132.85,144.0,19.7017,12.0,60,5,60
traj_0007_gap10_w0,traj_0007,308094000,train,10,60,60,0,60,69,129,2023-07-01 17:50:22,2023-07-01 22:13:19,2023-07-01 17:42:11,2023-07-01 22:24:32,262.95,282.35,141.9667,17.6544,10.7167,60,10,60
traj_0007_gap10_w1,traj_0007,308094000,train,10,60,60,3590,3650,3659,3719,2023-08-11 15:23:21,2023-08-11 18:22:34,2023-08-11 15:17:50,2023-08-11 18:33:02,179.2167,195.2,80.8,13.3293,10.9,60,10,60
traj_0007_gap10_w2,traj_0007,308094000,train,10,60,60,7180,7240,7249,7309,2023-09-20 11:49:14,2023-09-20 14:57:45,2023-09-20 11:37:15,2023-09-20 15:08:05,188.5167,210.8333,144.0,19.5195,12.0,60,10,60
traj_0007_gap15_w0,traj_0007,308094000,train,15,60,60,0,60,74,134,2023-07-01 17:50:22,2023-07-01 23:44:47,2023-07-01 17:42:11,2023-07-01 23:55:47,354.4167,373.6,141.9667,17.4235,10.675,60,15,60
traj_0007_gap15_w1,traj_0007,308094000,train,15,60,60,3588,3648,3662,3722,2023-08-11 15:06:57,2023-08-11 19:09:24,2023-08-11 14:57:02,2023-08-11 19:21:06,242.45,264.0667,80.8,13.4004,10.9917,60,15,60
